,channel 3
Revision:           ,0
Type:               ,AVERage
Start:              ,0
Points:             ,1000
Count:              ,256
XDispRange:         ,2.00000E-09
XDispOrg:           ,-1.000000000E-09
XInc:               ,2.5000000E-11
XOrg:               ,-1.2488281250E-08
Units:              ,second
YDispRange:         ,1.60000E+00
YDispOrg:           ,0.0E+00
YInc:               ,2.6346393715428E-05
YOrg:               ,2.32918581226613E-02
Units:              ,Volt
Frame:              ,DSO80804B:
Date:               ,8 MAR 2017
Time:               ,14:01:47
Max Bandwidth:      ,8000000000
Min Bandwidth:      ,0
Time Tags (channel 3),channel 3
1.36172E-09,3.0E-03
1.38672E-09,2.3E-03
1.41172E-09,2E-04
1.43672E-09,-1.1E-03
1.46172E-09,1E-04
1.48672E-09,2.6E-03
1.51172E-09,3.5E-03
1.53672E-09,1.6E-03
1.56172E-09,-7E-04
1.58672E-09,-8E-04
1.61172E-09,1.2E-03
1.63672E-09,2.7E-03
1.66172E-09,2.3E-03
1.68672E-09,1.1E-03
1.71172E-09,7E-04
1.73672E-09,1E-04
1.76172E-09,-1.7E-03
1.78672E-09,-2.9E-03
1.81172E-09,2E-04
1.83672E-09,7.8E-03
1.86172E-09,1.34E-02
1.88672E-09,1.05E-02
1.91172E-09,9E-04
1.93672E-09,-4.9E-03
1.96172E-09,1.3E-03
1.98672E-09,1.48E-02
2.01172E-09,2.09E-02
2.03672E-09,1.01E-02
2.06172E-09,-1.15E-02
2.08672E-09,-2.73E-02
2.11172E-09,-2.57E-02
2.13672E-09,-1.00E-02
2.16172E-09,6.7E-03
2.18672E-09,1.43E-02
2.21172E-09,1.29E-02
2.23672E-09,9.3E-03
2.26172E-09,8.0E-03
2.28672E-09,7.8E-03
2.31172E-09,5.0E-03
2.33672E-09,-1.3E-03
2.36172E-09,-7.6E-03
2.38672E-09,-9.6E-03
2.41172E-09,-5.9E-03
2.43672E-09,1.3E-03
2.46172E-09,7.9E-03
2.48672E-09,1.11E-02
2.51172E-09,1.05E-02
2.53672E-09,7.2E-03
2.56172E-09,3.0E-03
2.58672E-09,-2E-04
2.61172E-09,-1.6E-03
2.63672E-09,-1.5E-03
2.66172E-09,-8E-04
2.68672E-09,1E-04
2.71172E-09,1.1E-03
2.73672E-09,2.5E-03
2.76172E-09,3.7E-03
2.78672E-09,3.9E-03
2.81172E-09,2.8E-03
2.83672E-09,1.0E-03
2.86172E-09,-4E-04
2.88672E-09,-4E-04
2.91172E-09,1.0E-03
2.93672E-09,2.6E-03
2.96172E-09,3.2E-03
2.98672E-09,2.5E-03
3.01172E-09,1.2E-03
3.03672E-09,8E-04
3.06172E-09,1.3E-03
3.08672E-09,2.1E-03
3.11172E-09,2.0E-03
3.13672E-09,1.5E-03
3.16172E-09,1.7E-03
3.18672E-09,3.6E-03
3.21172E-09,6.3E-03
3.23672E-09,7.7E-03
3.26172E-09,6.9E-03
3.28672E-09,4.2E-03
3.31172E-09,1.0E-03
3.33672E-09,-2.1E-03
3.36172E-09,-4.0E-03
3.38672E-09,-3.7E-03
3.41172E-09,-1.1E-03
3.43672E-09,1.8E-03
3.46172E-09,1.0E-03
3.48672E-09,-4.7E-03
3.51172E-09,-1.17E-02
3.53672E-09,-1.32E-02
3.56172E-09,-5.5E-03
3.58672E-09,7.6E-03
3.61172E-09,1.80E-02
3.63672E-09,2.00E-02
3.66172E-09,1.41E-02
3.68672E-09,5.6E-03
3.71172E-09,-9E-04
3.73672E-09,-4.2E-03
3.76172E-09,-5.1E-03
3.78672E-09,-4.5E-03
3.81172E-09,-2.5E-03
3.83672E-09,6E-04
3.86172E-09,3.3E-03
3.88672E-09,4.4E-03
3.91172E-09,3.5E-03
3.93672E-09,2.0E-03
3.96172E-09,1.2E-03
3.98672E-09,1.6E-03
4.01172E-09,2.2E-03
4.03672E-09,1.8E-03
4.06172E-09,7E-04
4.08672E-09,-3E-04
4.11172E-09,-3E-04
4.13672E-09,9E-04
4.16172E-09,2.3E-03
4.18672E-09,3.1E-03
4.21172E-09,2.8E-03
4.23672E-09,2.0E-03
4.26172E-09,1.5E-03
4.28672E-09,1.6E-03
4.31172E-09,2.0E-03
4.33672E-09,2.0E-03
4.36172E-09,1.2E-03
4.38672E-09,2E-04
4.41172E-09,-2E-04
4.43672E-09,5E-04
4.46172E-09,1.7E-03
4.48672E-09,2.4E-03
4.51172E-09,2.3E-03
4.53672E-09,1.8E-03
4.56172E-09,1.6E-03
4.58672E-09,1.9E-03
4.61172E-09,2.4E-03
4.63672E-09,2.4E-03
4.66172E-09,1.9E-03
4.68672E-09,1.3E-03
4.71172E-09,1.0E-03
4.73672E-09,1.1E-03
4.76172E-09,1.3E-03
4.78672E-09,1.7E-03
4.81172E-09,2.0E-03
4.83672E-09,2.0E-03
4.86172E-09,1.7E-03
4.88672E-09,1.2E-03
4.91172E-09,1.0E-03
4.93672E-09,1.2E-03
4.96172E-09,1.4E-03
4.98672E-09,1.4E-03
5.01172E-09,1.2E-03
5.03672E-09,1.1E-03
5.06172E-09,1.4E-03
5.08672E-09,1.8E-03
5.11172E-09,1.9E-03
5.13672E-09,1.5E-03
5.16172E-09,8E-04
5.18672E-09,6E-04
5.21172E-09,8E-04
5.23672E-09,1.4E-03
5.26172E-09,2.1E-03
5.28672E-09,2.7E-03
5.31172E-09,3.0E-03
5.33672E-09,2.6E-03
5.36172E-09,1.6E-03
5.38672E-09,6E-04
5.41172E-09,6E-04
5.43672E-09,1.6E-03
5.46172E-09,2.9E-03
5.48672E-09,2.9E-03
5.51172E-09,1.3E-03
5.53672E-09,-4E-04
5.56172E-09,-8E-04
5.58672E-09,4E-04
5.61172E-09,2.0E-03
5.63672E-09,2.7E-03
5.66172E-09,2.3E-03
5.68672E-09,1.6E-03
5.71172E-09,1.6E-03
5.73672E-09,1.8E-03
5.76172E-09,1.6E-03
5.78672E-09,9E-04
5.81172E-09,3E-04
5.83672E-09,4E-04
5.86172E-09,1.2E-03
5.88672E-09,2.0E-03
5.91172E-09,2.3E-03
5.93672E-09,2.2E-03
5.96172E-09,2.2E-03
5.98672E-09,2.2E-03
6.01172E-09,2.2E-03
6.03672E-09,1.9E-03
6.06172E-09,1.2E-03
6.08672E-09,7E-04
6.11172E-09,5E-04
6.13672E-09,9E-04
6.16172E-09,1.5E-03
6.18672E-09,2.0E-03
6.21172E-09,2.1E-03
6.23672E-09,2.1E-03
6.26172E-09,1.9E-03
6.28672E-09,1.8E-03
6.31172E-09,1.8E-03
6.33672E-09,1.7E-03
6.36172E-09,1.5E-03
6.38672E-09,1.3E-03
6.41172E-09,1.3E-03
6.43672E-09,1.5E-03
6.46172E-09,1.6E-03
6.48672E-09,1.6E-03
6.51172E-09,1.6E-03
6.53672E-09,1.7E-03
6.56172E-09,1.7E-03
6.58672E-09,1.8E-03
6.61172E-09,1.8E-03
6.63672E-09,2.0E-03
6.66172E-09,2.2E-03
6.68672E-09,2.5E-03
6.71172E-09,2.6E-03
6.73672E-09,2.4E-03
6.76172E-09,2.0E-03
6.78672E-09,1.6E-03
6.81172E-09,1.2E-03
6.83672E-09,1.0E-03
6.86172E-09,1.1E-03
6.88672E-09,1.3E-03
6.91172E-09,1.6E-03
6.93672E-09,1.7E-03
6.96172E-09,1.5E-03
6.98672E-09,1.2E-03
7.01172E-09,1.3E-03
7.03672E-09,1.7E-03
7.06172E-09,2.3E-03
7.08672E-09,2.6E-03
7.11172E-09,2.3E-03
7.13672E-09,1.7E-03
7.16172E-09,1.2E-03
7.18672E-09,9E-04
7.21172E-09,1.0E-03
7.23672E-09,1.1E-03
7.26172E-09,1.2E-03
7.28672E-09,1.5E-03
7.31172E-09,1.8E-03
7.33672E-09,1.9E-03
7.36172E-09,1.6E-03
7.38672E-09,1.3E-03
7.41172E-09,1.1E-03
7.43672E-09,1.3E-03
7.46172E-09,1.6E-03
7.48672E-09,1.6E-03
7.51172E-09,1.3E-03
7.53672E-09,8E-04
7.56172E-09,8E-04
7.58672E-09,1.3E-03
